latitude,longitude,date,president_name,City,region,total_low,total_high,size,deaths
32.983322,70.405884,6-Dec-10,Obama,"Khysore village, 20 miles east of Miram Shah",North Waziristan,3,7,5.1,3
33.0291,70.2468,27-Dec-10,Obama,"Machikhel, Mir Ali",North Waziristan,4,6,5.1,6
32.314991,69.447327,8-Mar-11,Obama,"Landidog, 12 miles west of Wama",South Waziristan,5,5,5.1,5
33.050114,70.201263,13-Mar-11,Obama,"Spalga village, 15km NE of Miram Shah",North Waziristan,4,6,5.1,5
33.001755,69.781036,16-Mar-11,Obama,"Datta Khel, 15 miles west of Miram Shah",North Waziristan,4,6,5.1,5
32.512077,69.296265,13-Apr-11,Obama,"Angoor Adda, Bhangar area",South Waziristan,4,6,5.1,6
32.996571,70.351639,16-May-11,Obama,Mir Ali,North Waziristan,4,6,5.1,6
33.009525,70.185814,20-May-11,Obama,"Tappi area, 10km east of Miram Shah",North Waziristan,4,6,5.1,6
33.010967,70.180664,15-Jun-11,Obama,"Tapi, 10 km east of Miram Shah",North Waziristan,4,6,5.1,6
32.327763,69.436302,27-Oct-11,Obama,"Azam Warsak, 12 miles west of Wana",South Waziristan,4,6,5.1,6
32.712776,69.608345,26-Jun-12,Obama,Shawal,North Waziristan,4,6,5.1,5
32.715668,69.452019,1-Sep-12,Obama,Degan,North Waziristan,4,6,5.1,6
32.991604,70.165199,10-Oct-12,Obama,"Hurmuz, east of Miranshah",North Waziristan,5,5,5.1,5
32.98822,70.209503,3-Jan-13,Obama,Between Miran Shah and Mir Ali,North Waziristan,4,6,5.1,5
32.971191,70.277908,8-Jan-13,Obama,Mir Ali,North Waziristan,5,5,5.1,6
32.53805827,69.97741696,17-Apr-13,Obama,Sararogha,South Waziristan,5,5,5.1,6
32.99795289,69.90394589,5-Oct-14,Obama,Shawal,South Waziristan,5,5,5.1,5
32.96840141,69.8483276,6-Dec-14,Obama,Datta Khel,North Waziristan,4,6,5.1,6
32.94656185,69.81536862,20-Dec-14,Obama,Datta Khel,North Waziristan,5,5,5.1,5
32.614715,69.499587,18-May-15,Obama,Shawal,North Waziristan,5,5,5.1,6
32.704161,69.467315,9-Jan-16,Obama,Mangrooti,North Waziristan,5,5,5.1,5
32.8453688,69.4870511,8-Feb-18,Trump,Gorwak,North Waziristan,3,7,5.1,5
32.97699,70.303574,1-Oct-08,Bush,"Khusali Toorikhel, near Mir Ali",North Waziristan,4,5,4.6,6
32.99369,70.092087,11-Oct-08,Bush,Just outside Miram Shah,North Waziristan,4,5,4.6,6
32.966618,70.32074,26-Mar-09,Obama,"Sokhel, Mir Ali",North Waziristan,4,5,4.6,5
32.704109,70.063934,17-Jul-09,Obama,"Gariwan, 19 miles south of Miram Shah",North Waziristan,4,5,4.6,6
32.667992,70.144958,15-Jan-10,Obama,"Bichi village, Mirkhwanai area, near Shaktoi",North Waziristan,3,6,4.6,5
32.972958,69.700012,19-Jan-10,Obama,"Deegan, 18 miles west of Miram Shah",North Waziristan,3,6,4.6,6
32.9989,69.9534,2-Feb-10,Obama,"Toor Narai village, Datta Khel, 30km west of Miram Shah",North Waziristan,2,7,4.6,5
33.0023,69.8696,2-Feb-10,Obama,Pai Khel,North Waziristan,2,7,4.6,6
32.5725,69.5306,2-Feb-10,Obama,Muhammad Khel,North Waziristan,2,7,4.6,7
32.995995,69.625854,17-Mar-10,Obama,"Mada Khel, 25 miles west of Miram Shah",North Waziristan,3,6,4.6,6
32.994267,69.777603,3-Sep-10,Obama,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,2,7,4.6,7
